Parameter1;Model 1;Model 2;Model 3;Model 4
Structural effects;;;;
Intensity;-2.19 (0.00);-8.54 (0.00);-7.31 (0.00);-6.90 (0.00)
Edges;0.85 (0.00);1.80 (0.00);2.12 (0.00);2.19 (0.00)
Nodal effects;;;;
Reviews;;0.12 (0.00);0.84 (0.00);0.83 (0.00)
Rating;;0.43 (0.00);0.33 (0.00);0.32 (0.00)
Mon & Str ;;1.10 (0.00);0.89 (0.00);0.82 (0.00)
Mus & Thtr;;0.32 (0.00);-0.10 (0.17);-0.19 (0.00)
Arch & Hist ;;1.08 (0.00);0.86 (0.00);0.80 (0.00)
Nat Pk & An;;0.37 (0.00);0.11 (0.04);0.19 (0.00)
Relig Sit;;1.02 (0.00);0.83 (0.00);0.73 (0.00)
Shopping;;0.72 (0.00);0.49 (0.00);0.57 (0.00)
Relational effects;;;;
Reviews diff;;;-0.73 (0.00);-0.73 (0.00)
Rating diff;;;-0.53 (0.00);-0.54 (0.00)
Icon Mch;;;-12.28 (0.00);-12.10 (0.00)
Mon & Str Mch;;;0.07 (0.03);0.08 (0.03)
Mus & Thtr Mch;;;0.85 (0.00);0.86 (0.00)
Arch & Hist Mch ;;;0.00 (0.99);0.00 (0.98)
Nt Pk & An Mch;;;0.53 (0.00);0.49 (0.00)
Relig Sit Mch;;;0.33 (0.00);0.33 (0.00)
Shopping Mch;;;0.55 (0.01);0.54 (0.02)
Environmental effects;;;;
Distance;;;;-0.08 (0.00)
;;;;
AIC;-170993.84;-182769.57;-186010.4;-186876.49
BIC;-170975.4;-182677.36;-185835.2;-186692.06
Deviance;-170997.84;-182789.57;-186048.4;-186916.49
