Parameter;Year 1;Year 2;Year 3;Year 4;Year 5;pvalues1;pvalues2;pvalues3;pvalues4;pvalues5
Intensity;-4.45 (0.00);-3.91 (0.00);-5.64 (0.00);-4.37 (0.00);-6.90 (0.00);0.00;0.00;0.00;0.00;0.00
Edges;2.18 (0.00);2.08 (0.00);1.74 (0.00);1.45 (0.00);2.19 (0.00);0.00;0.00;0.00;0.00;0.00
Reviews;0.72 (0.00);0.41 (0.00);0.30 (0.00);0.40 (0.00);0.83 (0.00);0.00;0.00;0.00;0.00;0.00
Rating;0.15 (0.00);-0.04 (0.00);0.05 (0.00);0.06 (0.00);0.32 (0.00);0.00;0.00;0.00;0.00;0.00
Mon & Str ;0.15 (0.16);0.63 (0.00);1.20 (0.00);0.68 (0.00);0.82 (0.00);0.16;0.00;0.00;0.00;0.00
Mus & Thtr;-0.26 (0.02);0.34 (0.00);0.61 (0.00);0.04 (0.58);-0.19 (0.00);0.02;0.00;0.00;0.58;0.00
Arch & Hist ;0.38 (0.00);1.06 (0.00);1.42 (0.00);0.99 (0.00);0.80 (0.00);0.00;0.00;0.00;0.00;0.00
Nat Pk & An;0.69 (0.00);0.81 (0.00);1.30 (0.00);0.61 (0.00);0.19 (0.00);0.00;0.00;0.00;0.00;0.00
Relig Sit;-0.11 (0.36);0.89 (0.00);0.82 (0.00);0.33 (0.00);0.73 (0.00);0.36;0.00;0.00;0.00;0.00
Shopping;-0.72 (0.00);-0.40 (0.00);1.11 (0.00);-0.06 (0.41);0.57 (0.00);0.00;0.00;0.00;0.41;0.00
Reviews diff;-0.62 (0.00);-0.33 (0.00);-0.22 (0.00);-0.32 (0.00);-0.73 (0.00);0.00;0.00;0.00;0.00;0.00
Rating diff;-0.77 (0.00);-0.70 (0.00);-0.65 (0.00);-0.64 (0.00);-0.54 (0.00);0.00;0.00;0.00;0.00;0.00
Icon Mch;-3.96 (0.00);-6.64 (0.00);-4.57 (0.00);-9.00 (0.00);-12.1 (0.00);0.00;0.00;0.00;0.00;0.00
Mon & Str Mch;0.33 (0.00);0.56 (0.00);0.21 (0.00);0.32 (0.00);0.08 (0.03);0.00;0.00;0.00;0.00;0.03
Mus & Thtr Mch;0.48 (0.00);0.53 (0.00);0.76 (0.00);0.66 (0.00);0.86 (0.00);0.00;0.00;0.00;0.00;0.00
Arch & Hist Mch ;-0.24 (0.34);-0.40 (0.05);-0.32 (0.09);-0.09 (0.42);0.00 (0.98);0.34;0.05;0.09;0.42;0.98
Nt Pk & An Mch;0.27 (0.23);0.46 (0.01);0.31 (0.06);0.22 (0.19);0.49 (0.00);0.23;0.01;0.06;0.19;0.00
Relig Sit Mch;0.34 (0.19);0.35 (0.00);0.44 (0.00);0.90 (0.00);0.33 (0.00);0.19;0.00;0.00;0.00;0.00
Shopping Mch;1.00 (0.19);0.70 (0.19);0.06 (0.85);-0.05 (0.89);0.54 (0.02);0.19;0.19;0.85;0.89;0.02
Distance;-0.03 (0.00);-0.02 (0.00);-0.08 (0.00);-0.05 (0.00);-0.08 (0.00);0.00;0.00;0.00;0.00;0.00
