0.012;0.02;0.004;0.013;0.001
8.851;7.998;5.692;4.256;8.894
2.049;1.509;1.348;1.491;2.295
1.157;0.959;1.049;1.065;1.375
NS1;1.871;3.304;1.977;2.281
0.772;1.402;1.845;NS;0.824
1.469;2.897;4.138;2.68;2.221
1.99;2.247;3.669;1.836;1.215
NS;2.442;2.269;1.385;2.073
0.488;0.668;3.038;NS;1.768
0.537;0.72;0.803;0.724;0.483
0.465;0.495;0.522;0.53;0.582
0.019;0.001;0.01;0;0
1.392;1.748;1.236;1.375;1.079
1.612;1.701;2.131;1.941;2.355
NS;0.672;0.724;NS;NS
NS;1.579;1.367; NS;1.625
NS;1.425;1.553;2.469;1.388
NS;NS;NS;NS;1.715
0.969;0.979;0.927;0.952;0.922
